C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60
4,3,4,4,2,4,3,3,3,3,4,3,3,4,4,4,3,3,4,4,4,3,3,4,3,4,2,4,4,4,2,3,3,3,4,3,4,3,3,4,3,2,4,4,4,4,4,4,4,4,3,4,4,4,4,2,3,3,4,3
4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,4,3,4,3,4,3,4,2,4,4,4,3,3,4,3,3,4,3,5,3,4,4,3,5,5,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,4,4,4,2,4,4,2,2,2,2,4,4,2,2,4,4,2,2,2,4,4,4,2,4,2,2,4,2,2,2,4,2,4,2,4,2,4,4,2,2,4,2,4,4,2,2,4,4,4,2,4,4,2,2,4,4,4,4,2
4,4,2,4,1,5,4,1,2,4,1,2,2,2,2,4,4,5,4,5,3,5,4,4,4,5,3,2,1,2,4,1,2,3,2,4,4,4,3,4,3,2,4,2,4,2,2,2,3,5,3,2,4,4,3,4,2,2,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,5,5,5,4,4,5,4,5,4,5,4,4,4,4,4,5,5,4,4,5,4,5,4,4,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,5,5,4,4,4,5,5,5,4,5,5,4,5,5,5,4,5,5,4
4,4,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,4,3,3,4,4,4,4,4,4,4,2,4,4
4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,3,5,2,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4
4,3,3,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,3,3,3,4,4,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,4,3,4,4
4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,4,4,4,5
4,4,4,3,4,4,4,4,4,3,4,3,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
4,4,5,4,5,5,4,4,5,5,5,4,3,5,5,5,5,3,4,5,4,4,5,4,5,4,5,4,5,5,5,5,4,5,5,5,5,4,4,5,4,5,5,5,4,4,5,5,5,2,2,5,5,4,5,5,4,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,3,3,3,4,4,4,3,4,3,3,4,4,3,4,4,3,3,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,4,3,3,4,3,4,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,4,3,4,5,3,3,4,4,4,4,4,3,4,3,4,3,4,3,4,3,4,3,4
4,4,4,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,2,5,5,1,4,4,4,5,4,3
4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,3,4,4,4,4,4
4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,3,3,3,2,3,4,4,4,3,4,3,4,3,3
4,5,3,2,2,3,5,2,4,2,4,4,5,5,4,4,4,4,5,3,5,3,4,4,4,5,4,4,4,4,5,3,4,4,4,5,4,4,4,4,4,4,4,1,3,3,4,4,4,5,4,4,4,4,4,4,3,4,4,3
2,4,4,4,4,4,4,4,4,2,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,3,4,4,4,4,3,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,4,4,4,4,4,4,4,3,5,4,4,4,5,5,5,5,4,4,4,5,5,5,4,5,4,4,4,4,4,5,5,5,5,4,4,5,5,3,4,5,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,4,5,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,5,4,5,4,5,5,4,5,3,3,3,4,4,4,3,3,4,3,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
5,2,4,2,2,5,5,4,2,2,4,5,4,2,2,2,4,5,4,4,5,4,5,4,4,4,2,2,2,5,2,2,5,4,2,4,4,4,4,5,4,4,4,2,2,5,4,4,4,2,4,4,4,3,4,4,4,2,2,2
4,5,4,3,3,3,4,1,3,4,5,5,4,3,1,2,4,1,2,5,4,5,4,5,4,5,3,3,4,5,3,4,5,3,5,3,5,5,5,4,4,1,5,1,4,4,3,4,2,4,1,3,4,2,4,5,3,3,3,2
1,4,3,4,2,2,4,3,4,2,2,2,4,2,2,4,2,4,4,4,4,4,4,4,2,2,2,2,2,1,4,2,4,4,4,2,2,2,4,1,4,2,3,4,4,4,2,2,2,2,2,3,2,4,2,4,2,2,2,2
3,2,2,2,2,4,3,2,5,4,2,3,3,5,4,4,4,5,5,4,4,2,3,2,2,2,2,2,2,3,4,4,5,5,5,4,3,4,4,3,3,2,3,4,2,4,3,4,4,5,5,4,2,2,2,2,2,5,2,4
2,4,4,4,4,2,2,4,4,2,4,4,4,4,2,4,2,4,4,4,5,5,5,2,4,4,4,4,4,2,4,4,4,4,5,4,4,5,4,2,4,2,4,4,4,4,4,5,5,5,4,5,5,5,5,4,4,4,4,4
4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,3,3,3,3,3,3,3,3,4,4,3,3,2,2,3,3,3,3,3,4,4,3,3,3,2,2,1,3,3,2,4,4,4,4,3,4,4,4,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,2,3,4
5,4,4,4,4,5,4,4,4,4,5,5,4,4,2,4,5,5,4,4,4,4,4,4,2,4,4,4,4,2,4,5,5,4,4,4,4,4,5,5,4,2,4,4,5,5,4,4,4,4,4,4,4,4,2,4,2,4,2,4